SCHOOLID,SCHOOL_TYPE_CODE,BLANK,SCHOOL_NAME,DISTRICT_NAME,CITY,COUNTY,LOCAL_PROP_TAXES_DISTRICT_DOLLAR,LOCAL_PROP_TAXES_DISTRICT_PCT,LOCAL_PROP_TAXES_STATE_PCT,OTHER_LOCAL_FUNDING_DISTRICT_DOLLAR,OTHER_LOCAL_FUNDING_DISTRICT_PCT,OTHER_LOCAL_FUNDING_STATE_PCT,Total Local Dollars,TOTAL_REVENUE_SOURCE,dollars_per_enrollment,% Local Dollars,DISTRICT_TOTAL_ENROLLMENT,GENERAL_STATE_AID_DISTRICT_DOLLAR,GENERAL_STATE_AID_DISTRICT_PCT,GENERAL_STATE_AID_STATE_PCT,OTHER_STATE_FUNDING_DISTRICT_DOLLAR,OTHER_STATE_FUNDING_DISTRICT_PCT,OTHER_STATE_FUNDING_STATE_PCT,FEDERAL_FUNDING_DISTRICT_DOLLAR,FEDERAL_FUNDING_DISTRICT_PCT,FEDERAL_FUNDING_STATE_PCT,EAV_PER_PUPIL_DISTRICT,TOT_SCHL_TAX_RATE_PER_100_DISTRICT,OPER_EXPEND_PP_DISTRICT
340490700021005,1,,Highland Middle School,Libertyville SD 70,Libertyville,Lake,"$28,243,411",78,62.8,"$4,761,337",13.1,4.6,"$33,004,889","$36,230,273","$15,095.95",91.10%,"2,400","$852,239",2.4,16.3,"$1,779,585",4.9,8.6,"$593,701",1.6,7.7,"$340,360",2.99,"$10,939"
320460530021001,1,,Bourbonnais Upper Grade Center,Bourbonnais SD 53,Bourbonnais,Kankakee,"$14,564,459",63.4,62.8,"$627,670",2.7,4.6,"$15,192,255","$22,979,160","$9,594.64",66.11%,"2,395","$4,361,764",19,16.3,"$1,559,978",6.8,8.6,"$1,865,289",8.1,7.7,"$180,048",3.34,"$9,106"
240470880260001,0,,Plano High School,Plano CUSD 88,Plano,Kendall,"$16,828,941",60.2,62.8,"$843,810",3,4.6,"$17,672,874","$27,959,498","$11,713.24",63.21%,"2,387","$7,319,129",26.2,16.3,"$1,874,557",6.7,8.6,"$1,093,061",3.9,7.7,"$72,521",10.23,"$9,655"
340490030041006,1,,Beach Park Middle School,Beach Park CCSD 3,Beach Park,Lake,"$18,382,968",65.3,62.8,"$437,409",1.6,4.6,"$18,820,505","$28,130,870","$11,940.10",66.90%,"2,356","$6,146,826",21.9,16.3,"$1,765,437",6.3,8.6,"$1,398,230",5,7.7,"$145,855",5.6,"$11,029"
70161220021005,1,,Simmons Middle School,Ridgeland SD 122,Oak Lawn,Cook,"$21,566,175",67.9,62.8,"$1,484,958",4.7,4.6,"$23,051,264","$31,782,491","$13,553.30",72.53%,"2,345","$4,509,649",14.2,16.3,"$2,159,772",6.8,8.6,"$2,061,937",6.5,7.7,"$250,156",4.32,"$12,012"
51084003A260001,0,,Rochester High School,Rochester CUSD 3A,Rochester,Sangamon,"$11,294,754",55.9,62.8,"$1,432,302",7.1,4.6,"$12,727,175","$20,203,170","$8,700.76",63.00%,"2,322","$5,463,346",27,16.3,"$1,015,730",5,8.6,"$997,038",4.9,7.7,"$112,995",4.55,"$8,393"
70161610021003,1,,Parker Junior High School,Flossmoor SD 161,Flossmoor,Cook,"$21,707,153",72.9,62.8,"$1,380,612",4.6,4.6,"$23,087,901","$29,760,727","$12,822.37",77.58%,"2,321","$3,950,569",13.3,16.3,"$1,492,388",5,8.6,"$1,230,005",4.1,7.7,"$181,344",5.74,"$12,751"
440631560160001,0,,McHenry High School-West Campus,McHenry CHSD 156,McHenry,McHenry,"$26,148,915",79.4,62.8,"$1,605,948",4.9,4.6,"$27,755,005","$32,914,491","$14,199.52",84.33%,"2,318","$2,654,539",8.1,16.3,"$1,366,252",4.2,8.6,"$1,138,837",3.5,7.7,"$435,767",2.7,"$11,789"
211000050260001,0,,Carterville High School,Carterville CUSD 5,Carterville,Williamson,"$6,993,613",37.7,62.8,"$2,451,443",13.2,4.6,"$9,445,157","$18,541,481","$8,222.39",50.94%,"2,255","$7,112,214",38.4,16.3,"$434,870",2.3,8.6,"$1,549,341",8.4,7.7,"$88,052",3.77,"$7,752"
70161520021001,1,,Brooks Middle School,Harvey SD 152,Harvey,Cook,"$4,073,297",15.3,62.8,"$858,154",3.2,4.6,"$4,931,529","$26,551,352","$11,805.85",18.57%,"2,249","$15,312,308",57.7,16.3,"$2,492,808",9.4,8.6,"$3,814,785",14.4,7.7,"$53,087",4.86,"$11,782"
50160570021004,1,,Lincoln Middle School,Mount Prospect SD 57,Mt Prospect,Cook,"$19,080,557",79.4,62.8,"$2,379,063",9.9,4.6,"$21,459,762","$24,033,468","$10,782.17",89.29%,"2,229","$815,704",3.4,16.3,"$895,646",3.7,8.6,"$862,498",3.6,7.7,"$273,792",3.48,"$10,663"
340491020041002,1,,Aptakisic Junior High School,Aptakisic-Tripp CCSD 102,Buffalo Grove,Lake,"$29,889,684",89.2,62.8,"$818,933",2.4,4.6,"$30,708,769","$33,521,705","$15,065.93",91.61%,"2,225","$670,094",2,16.3,"$1,568,127",4.7,8.6,"$574,867",1.7,7.7,"$407,504",3.78,"$15,379"
70161480021002,1,,Roosevelt Junior High School,Dolton SD 148,Dolton,Cook,"$12,065,979",36.4,62.8,"$661,028",2,4.6,"$12,727,106","$33,132,971","$15,108.51",38.41%,"2,193","$14,713,163",44.4,16.3,"$1,799,987",5.4,8.6,"$3,892,814",11.7,7.7,"$78,451",8.76,"$14,839"
210610010260001,0,,Massac County High School,Massac UD 1,Metropolis,Massac,"$7,144,427",37,62.8,"$676,583",3.5,4.6,"$7,821,110","$19,289,518","$8,824.12",40.55%,"2,186","$7,965,219",41.3,16.3,"$1,263,601",6.6,8.6,"$2,239,688",11.6,7.7,"$71,726",4.35,"$9,524"
480723210260007,0,,Il Valley Central High School,Il Valley Central USD 321,Chillicothe,Peoria,"$12,465,047",65.1,62.8,"$813,658",4.3,4.6,"$13,278,833","$19,143,359","$8,797.50",69.37%,"2,176","$3,530,652",18.4,16.3,"$1,401,176",7.3,8.6,"$932,826",4.9,7.7,"$130,254",4.5,"$8,262"
340490790021001,1,,Fremont Jr High/Middle School,Fremont SD 79,Mundelein,Lake,"$26,334,810",85,62.8,"$1,809,165",5.8,4.6,"$28,144,123","$30,994,728","$14,322.89",90.80%,"2,164","$176,696",0.6,16.3,"$2,008,615",6.5,8.6,"$665,442",2.1,7.7,"$362,167",3.52,"$12,407"
190220020021001,1,,Blackhawk Middle School,Bensenville SD 2,Bensenville,Dupage,"$27,294,140",77,62.8,"$460,485",1.3,4.6,"$27,754,765","$35,456,639","$16,422.71",78.28%,"2,159","$2,939,460",8.3,16.3,"$2,194,450",6.2,8.6,"$2,568,104",7.2,7.7,"$292,175",4.43,"$14,023"
07016113A021002,1,,Old Quarry Middle Sch,Lemont-Bromberek CSD 113A,Lemont,Cook,"$23,666,995",85.8,62.8,"$1,347,951",4.9,4.6,"$25,015,095","$27,578,373","$12,821.19",90.71%,"2,151","$804,430",2.9,16.3,"$851,220",3.1,8.6,"$907,777",3.3,7.7,"$494,839",2.39,"$10,803"
320460050260005,0,,Manteno High School,Manteno CUSD 5,Manteno,Kankakee,"$13,893,909",57.1,62.8,"$1,239,982",5.1,4.6,"$15,134,011","$24,320,962","$11,359.63",62.23%,"2,141","$3,993,527",16.4,16.3,"$4,147,967",17.1,8.6,"$1,045,577",4.3,7.7,"$135,765",5.32,"$10,089"
340490560021002,1,,Viking School,Gurnee SD 56,Gurnee,Lake,"$23,778,155",81.1,62.8,"$1,784,408",6.1,4.6,"$25,562,707","$29,333,109","$13,700.66",87.15%,"2,141","$1,452,487",5,16.3,"$1,382,059",4.7,8.6,"$936,000",3.2,7.7,"$245,567",4.68,"$12,720"
300391860260001,0,,Murphysboro High School,Murphysboro CUSD 186,Murphysboro,Jackson,"$7,317,806",28.2,62.8,"$2,575,878",9.9,4.6,"$9,893,775","$25,955,288","$12,139.99",38.12%,"2,138","$7,804,191",30.1,16.3,"$5,848,899",22.5,8.6,"$2,408,514",9.3,7.7,"$84,878",4.57,"$11,443"
41012070160001,0,,Hononegah High School,Hononegah CHD 207,Rockton,Winnebago,"$16,955,670",68.6,62.8,"$1,836,051",7.4,4.6,"$18,791,852","$24,727,067","$11,603.50",76.00%,"2,131","$3,964,964",16,16.3,"$918,545",3.7,8.6,"$1,051,837",4.3,7.7,"$341,690",2.52,"$11,249"
240320010260001,0,,Coal City High School,Coal City CUSD 1,Coal City,Grundy,"$26,125,911",87,62.8,"$1,194,685",4,4.6,"$27,320,746","$30,025,701","$14,169.75",90.99%,"2,119","$631,344",2.1,16.3,"$1,178,176",3.9,8.6,"$895,585",3,7.7,"$399,299",3.13,"$13,258"
260621850260001,0,,Macomb Senior High School,Macomb CUSD 185,Macomb,McDonough,"$14,016,712",64,62.8,"$981,268",4.5,4.6,"$14,998,107","$21,901,349","$10,419.29",68.48%,"2,102","$4,004,065",18.3,16.3,"$1,650,398",7.5,8.6,"$1,248,906",5.7,7.7,"$127,623",5.6,"$9,191"
160194300260001,0,,Sandwich Community High School,Sandwich CUSD 430,Sandwich,Dekalb,"$14,367,451",62.1,62.8,"$717,379",3.1,4.6,"$15,084,955","$23,149,536","$11,034.10",65.16%,"2,098","$4,470,188",19.3,16.3,"$1,936,698",8.4,8.6,"$1,657,820",7.2,7.7,"$133,671",5.27,"$10,811"
320463070160001,0,,Bradley-Bourbonnais C High School,Bradley Bourbonnais CHSD 307,Bradley,Kankakee,"$14,490,128",65.8,62.8,"$955,942",4.3,4.6,"$15,446,199","$22,035,187","$10,538.11",70.10%,"2,091","$4,037,196",18.3,16.3,"$1,405,340",6.4,8.6,"$1,146,581",5.2,7.7,"$364,350",2.02,"$9,631"
350501410021009,1,,Shepherd Middle School,Ottawa ESD 141,Ottawa,La Salle,"$12,027,785",56,62.8,"$1,702,435",7.9,4.6,"$13,730,339","$21,469,042","$10,346.53",63.95%,"2,075","$4,436,809",20.7,16.3,"$1,713,577",8,8.6,"$1,588,436",7.4,7.7,"$137,767",3.98,"$10,321"
190220890041003,1,,Glen Crest Middle School,CCSD 89,Glen Ellyn,Dupage,"$25,078,473",85.2,62.8,"$1,946,459",6.6,4.6,"$27,025,080","$29,447,688","$14,225.94",91.77%,"2,070","$770,455",2.6,16.3,"$1,062,562",3.6,8.6,"$589,739",2,7.7,"$385,018",3.36,"$12,908"
200830030260001,0,,Harrisburg High School,Harrisburg CUSD 3,Harrisburg,Saline,"$5,562,867",29.1,62.8,"$1,691,082",8.9,4.6,"$7,254,041","$19,105,021","$9,301.37",37.97%,"2,054","$8,472,360",44.3,16.3,"$1,516,701",7.9,8.6,"$1,862,011",9.7,7.7,"$61,324",4.51,"$7,910"
340491200130001,0,,Mundelein Cons High School,Mundelein Cons HSD 120,Mundelein,Lake,"$32,010,694",85.9,62.8,"$1,128,295",3,4.6,"$33,139,138","$37,253,233","$18,145.75",88.96%,"2,053","$1,206,840",3.2,16.3,"$2,107,594",5.7,8.6,"$799,810",2.1,7.7,"$565,388",2.65,"$13,355"
170530080260001,0,,Prairie Central High School,Prairie Central CUSD 8,Fairbury,Livingston,"$12,666,236",57.7,62.8,"$1,588,143",7.2,4.6,"$14,254,500","$21,967,511","$10,715.86",64.89%,"2,050","$4,967,967",22.6,16.3,"$1,502,136",6.8,8.6,"$1,243,029",5.7,7.7,"$107,309",6.11,"$10,502"
530903030160002,0,,Pekin Community High School,Pekin CSD 303,Pekin,Tazewell,"$16,495,664",74.7,62.8,"$874,277",4,4.6,"$17,370,079","$22,084,081","$10,889.59",78.65%,"2,028","$2,282,332",10.3,16.3,"$1,149,457",5.2,8.6,"$1,282,351",5.8,7.7,"$351,884",2.08,"$10,680"
170200150260001,0,,Clinton High School,Clinton CUSD 15,Clinton,Dewitt,"$16,846,581",78.6,62.8,"$791,594",3.7,4.6,"$17,638,316","$21,433,394","$10,594.86",82.29%,"2,023","$1,342,497",6.3,16.3,"$1,202,868",5.6,8.6,"$1,249,854",5.8,7.7,"$250,010",3.56,"$9,701"
450670040260001,0,,Columbia High School,Columbia CUSD 4,Columbia,Monroe,"$14,473,131",73.9,62.8,"$1,141,985",5.8,4.6,"$15,615,253","$19,582,195","$9,727.87",79.74%,"2,013","$2,570,240",13.1,16.3,"$744,785",3.8,8.6,"$652,054",3.3,7.7,"$161,170",4.72,"$8,117"
190220940160001,0,,Community High School,CHSD 94,West Chicago,Dupage,"$26,045,844",83.7,62.8,"$958,938",3.1,4.6,"$27,004,929","$31,132,213","$15,473.27",86.74%,"2,012","$1,767,867",5.7,16.3,"$1,453,389",4.7,8.6,"$906,175",2.9,7.7,"$551,318",2.54,"$14,778"
410570010260001,0,,Roxana Sr High School,Roxana CUSD 1,Roxana,Madison,"$22,956,436",81.6,62.8,"$732,643",2.6,4.6,"$23,689,223","$28,133,719","$14,223.32",84.20%,"1,978","$1,301,308",4.6,16.3,"$1,170,404",4.2,8.6,"$1,972,928",7,7.7,"$329,044",3.89,"$12,118"
70161630021010,1,,Michelle Obama Sch of Technology,Park Forest SD 163,Park Forest,Cook,"$9,243,760",34.7,62.8,"$737,712",2.8,4.6,"$9,981,570","$26,606,794","$13,458.17",37.52%,"1,977","$10,386,015",39,16.3,"$3,084,896",11.6,8.6,"$3,154,411",11.9,7.7,"$46,977",11.73,"$12,368"
440630120260002,0,,Johnsburg High School,Johnsburg CUSD 12,Johnsburg,McHenry,"$21,033,721",78.3,62.8,"$1,312,949",4.9,4.6,"$22,346,811","$26,848,535","$13,587.32",83.23%,"1,976","$1,429,668",5.3,16.3,"$1,991,598",7.4,8.6,"$1,080,599",4,7.7,"$171,130",6.54,"$12,698"
70161180041004,1,,Palos South Middle School,Palos CCSD 118,Palos Park,Cook,"$22,364,486",85.1,62.8,"$747,708",2.8,4.6,"$23,112,342","$26,283,748","$13,471.94",87.93%,"1,951","$735,532",2.8,16.3,"$1,418,063",5.4,8.6,"$1,017,959",3.9,7.7,"$440,194",2.99,"$13,159"
280372290260001,0,,Kewanee High School,Kewanee CUSD 229,Kewanee,Henry,"$3,695,221",20,62.8,"$1,948,250",10.6,4.6,"$5,643,554","$18,437,607","$9,455.18",30.61%,"1,950","$8,854,908",48,16.3,"$2,027,751",11,8.6,"$1,911,477",10.4,7.7,"$42,787",4.56,"$8,687"
190220160021004,1,,Glenside Middle School,Queen Bee SD 16,Glendale Heights,Dupage,"$19,122,352",68.9,62.8,"$1,419,051",5.1,4.6,"$20,541,535","$27,741,711","$14,403.80",74.05%,"1,926","$4,616,655",16.6,16.3,"$1,342,386",4.8,8.6,"$1,241,267",4.5,7.7,"$165,033",6.29,"$12,206"
70161530021003,1,,James Hart School,Homewood SD 153,Homewood,Cook,"$15,851,445",70.4,62.8,"$954,701",4.2,4.6,"$16,806,279","$22,517,027","$11,733.73",74.64%,"1,919","$3,588,456",15.9,16.3,"$1,232,121",5.5,8.6,"$890,304",4,7.7,"$164,725",5.58,"$12,182"
340491240160001,0,,Grant Community High School,Grant CHSD 124,Fox Lake,Lake,"$25,060,044",82.3,62.8,"$1,091,635",3.6,4.6,"$26,151,824","$30,447,537","$15,924.44",85.89%,"1,912","$2,022,229",6.6,16.3,"$1,342,381",4.4,8.6,"$931,248",3.1,7.7,"$425,370",3.25,"$12,455"
30030020260001,0,,Bond Cty Comm Unit 2 High School,Bond County CUSD 2,Greenville,Bond,"$7,524,216",44,62.8,"$605,761",3.5,4.6,"$8,130,084","$17,103,023","$8,996.86",47.54%,"1,901","$5,862,269",34.3,16.3,"$1,676,160",9.8,8.6,"$1,434,617",8.4,7.7,"$94,839",4.39,"$8,839"
70161590021001,1,,Colin Powell Middle Sch,ESD 159,Matteson,Cook,"$27,270,274",63.4,62.8,"$579,202",1.3,4.6,"$27,849,602","$43,007,541","$22,937.36",64.76%,"1,875","$2,204,606",5.1,16.3,"$11,319,856",26.3,8.6,"$1,633,603",3.8,7.7,"$224,683",7.28,"$15,958"
70161040021001,1,,Heritage Middle School,Summit SD 104,Summit,Cook,"$11,133,516",48.8,62.8,"$496,464",2.2,4.6,"$11,630,092","$22,798,546","$12,172.21",51.01%,"1,873","$7,426,586",32.6,16.3,"$1,748,003",7.7,8.6,"$1,993,977",8.7,7.7,"$129,769",5.83,"$14,337"
70162200170001,0,,Reavis High School,Reavis Twp HSD 220,Burbank,Cook,"$26,240,179",75,62.8,"$4,428,438",12.7,4.6,"$30,668,755","$34,964,806","$18,737.84",87.71%,"1,866","$1,837,608",5.3,16.3,"$1,151,526",3.3,8.6,"$1,307,055",3.7,7.7,"$524,043",2.76,"$16,637"
170640160260009,0,,Olympia High School,Olympia CUSD 16,Stanford,McLean,"$13,316,787",65.2,62.8,"$1,175,753",5.8,4.6,"$14,492,668","$20,411,757","$10,974.06",71.00%,"1,860","$2,517,056",12.3,16.3,"$1,889,982",9.3,8.6,"$1,512,179",7.4,7.7,"$156,300",4.85,"$10,618"
70161430022001,2,,Central Park Elem School,Midlothian SD 143,Midlothian,Cook,"$6,989,944",37.7,62.8,"$650,301",3.5,4.6,"$7,640,346","$18,532,270","$9,968.95",41.23%,"1,859","$7,731,498",41.7,16.3,"$1,334,578",7.2,8.6,"$1,825,949",9.9,7.7,"$110,060",3.95,"$9,768"
70162290160001,0,,Oak Lawn Comm High School,Oak Lawn CHSD 229,Oak Lawn,Cook,"$24,246,198",80.7,62.8,"$1,722,628",5.7,4.6,"$25,968,970","$30,034,347","$16,349.67",86.46%,"1,837","$2,030,730",6.8,16.3,"$1,179,378",3.9,8.6,"$855,413",2.8,7.7,"$527,164",2.98,"$16,414"
50160680021002,1,,Old Orchard Jr High School,Skokie SD 68,Skokie,Cook,"$26,386,464",82.3,62.8,"$1,860,819",5.8,4.6,"$28,247,428","$32,070,146","$17,505.54",88.08%,"1,832","$1,459,938",4.6,16.3,"$1,378,534",4.3,8.6,"$984,391",3.1,7.7,"$493,110",3.14,"$15,358"
210281680260001,0,,Frankfort Comm High School,Frankfort CUSD 168,West Frankfort,Franklin,"$2,829,498",17.8,62.8,"$1,142,013",7.2,4.6,"$3,971,592","$15,934,895","$8,702.84",24.92%,"1,831","$8,575,445",53.8,16.3,"$1,283,860",8.1,8.6,"$2,104,079",13.2,7.7,"$50,273",3.08,"$9,551"
70162170160001,0,,Argo Community High School,Argo CHSD 217,Summit,Cook,"$26,601,176",75,62.8,"$1,022,219",2.9,4.6,"$27,623,533","$35,447,129","$19,519.34",77.93%,"1,816","$4,003,450",11.3,16.3,"$2,002,433",5.6,8.6,"$1,817,851",5.1,7.7,"$396,943",4.01,"$17,833"
41011310041002,1,,Roscoe Middle School,Kinnikinnick CCSD 131,Roscoe,Winnebago,"$11,273,516",67.6,62.8,"$642,847",3.9,4.6,"$11,916,493","$16,683,429","$9,227.56",71.43%,"1,808","$3,555,237",21.3,16.3,"$815,581",4.9,8.6,"$396,248",2.4,7.7,"$176,107",3.51,"$8,100"
470712230260003,0,,Stillman Valley High School,Meridian CUSD 223,Stillman Valley,Ogle,"$11,850,500",60.1,62.8,"$956,142",4.9,4.6,"$12,806,765","$19,707,951","$10,991.61",64.98%,"1,793","$5,097,115",25.9,16.3,"$1,141,237",5.8,8.6,"$662,957",3.4,7.7,"$94,749",5.29,"$8,728"
30680030260001,0,,Hillsboro High School,Hillsboro CUSD 3,Hillsboro,Montgomery,"$10,046,763",54.8,62.8,"$1,057,603",5.8,4.6,"$11,104,484","$18,317,743","$10,221.95",60.62%,"1,792","$4,023,103",22,16.3,"$2,106,899",11.5,8.6,"$1,083,375",5.9,7.7,"$111,700",4.97,"$8,852"
70161240021001,1,,Central Middle School,Evergreen Park ESD 124,Evergreen Park,Cook,"$21,565,042",79.9,62.8,"$760,412",2.8,4.6,"$22,325,597","$26,995,733","$15,064.58",82.70%,"1,792","$1,716,026",6.4,16.3,"$1,770,563",6.6,8.6,"$1,183,690",4.4,7.7,"$235,379",5.43,"$14,186"
340490380021001,1,,Big Hollow Middle School,Big Hollow SD 38,Ingleside,Lake,"$13,325,667",74.2,62.8,"$697,190",3.9,4.6,"$14,022,994","$17,968,910","$10,038.50",78.04%,"1,790","$2,197,032",12.2,16.3,"$1,278,123",7.1,8.6,"$470,898",2.6,7.7,"$186,478",4.32,"$9,680"
340490670051003,1,,Deer Path Middle Sch West,Lake Forest SD 67,Lake Forest,Lake,"$31,042,258",87.8,62.8,"$2,659,639",7.5,4.6,"$33,702,048","$35,372,521","$19,838.77",95.28%,"1,783","$377,977",1.1,16.3,"$781,377",2.2,8.6,"$511,270",1.4,7.7,"$1,256,208",1.42,"$16,809"
350500440021005,1,,Northlawn Jr High School,Streator ESD 44,Streator,La Salle,"$5,629,935",31.9,62.8,"$451,195",2.6,4.6,"$6,081,225","$17,621,423","$9,972.51",34.51%,"1,767","$7,734,281",43.9,16.3,"$1,710,144",9.7,8.6,"$2,095,868",11.9,7.7,"$87,552",3.5,"$10,630"
50160280021004,1,,Northbrook Junior High School,Northbrook SD 28,Northbrook,Cook,"$32,522,544",91,62.8,"$1,420,333",4,4.6,"$33,943,031","$35,750,022","$20,254.97",94.95%,"1,765","$344,700",1,16.3,"$814,798",2.3,8.6,"$647,647",1.8,7.7,"$700,661",2.96,"$20,051"
320460020260001,0,,Herscher High School,Herscher CUSD 2,Herscher,Kankakee,"$12,849,599",67.2,62.8,"$1,371,799",7.2,4.6,"$14,221,528","$19,115,755","$10,836.60",74.40%,"1,764","$2,011,783",10.5,16.3,"$1,834,106",9.6,8.6,"$1,048,468",5.5,7.7,"$142,276",4.77,"$10,904"
50160360021005,1,,Carleton W Washburne School,Winnetka SD 36,Winnetka,Cook,"$38,975,340",93.2,62.8,"$1,303,767",3.1,4.6,"$40,279,263","$41,829,654","$23,726.41",96.29%,"1,763","$333,924",0.8,16.3,"$684,085",1.6,8.6,"$532,538",1.3,7.7,"$735,528",3.33,"$20,578"
160194240260001,0,,Genoa-Kingston High School,Genoa Kingston CUSD 424,Genoa,Dekalb,"$10,597,124",53.7,62.8,"$1,872,417",9.5,4.6,"$12,469,658","$19,745,224","$11,225.26",63.15%,"1,759","$5,233,098",26.5,16.3,"$1,072,910",5.4,8.6,"$969,675",4.9,7.7,"$97,537",6.28,"$10,898"
330942380260001,0,,Monmouth-Roseville High Sch,Monmouth-Roseville CUSD 238,Monmouth,Warren,"$5,343,079",34.5,62.8,"$1,035,422",6.7,4.6,"$6,378,598","$15,479,019","$8,957.77",41.21%,"1,728","$6,529,240",42.2,16.3,"$1,261,952",8.2,8.6,"$1,309,326",8.5,7.7,"$77,580",4.36,"$7,903"
70161435021003,1,,Kellar School,Posen-Robbins ESD 143-5,Robbins,Cook,"$3,290,894",17.8,62.8,"$213,125",1.2,4.6,"$3,504,100","$18,461,989","$10,758.73",18.98%,"1,716","$10,814,101",58.6,16.3,"$1,991,233",10.8,8.6,"$2,152,636",11.7,7.7,"$61,803",3.62,"$9,189"
490810300170001,0,,United Twp High School,United Twp HSD 30,East Moline,Rock Island,"$11,630,162",64,62.8,"$1,490,245",8.2,4.6,"$13,120,534","$18,166,613","$10,611.34",72.22%,"1,712","$3,004,496",16.5,16.3,"$569,445",3.1,8.6,"$1,472,265",8.1,7.7,"$334,292",1.9,"$10,606"
130410800021001,1,,Zadok Casey Middle School,Mount Vernon SD 80,Mount Vernon,Jefferson,"$5,973,181",31.3,62.8,"$1,055,880",5.5,4.6,"$7,029,155","$19,081,004","$11,151.96",36.84%,"1,711","$5,568,495",29.2,16.3,"$2,136,564",11.2,8.6,"$4,346,884",22.8,7.7,"$133,027",3.2,"$12,042"
340491030021001,1,,Daniel Wright Jr High School,Lincolnshire-Prairieview SD 103,Lincolnshire,Lake,"$26,869,848",86.9,62.8,"$2,467,017",8,4.6,"$29,337,015","$30,922,437","$18,125.70",94.87%,"1,706","$334,760",1.1,16.3,"$1,066,041",3.4,8.6,"$184,771",0.6,7.7,"$550,166",3.01,"$16,382"
340491150160001,0,,Lake Forest High School,Lake Forest CHSD 115,Lake Forest,Lake,"$39,219,902",85.4,62.8,"$4,818,689",10.5,4.6,"$44,038,739","$45,908,026","$26,909.75",95.93%,"1,706","$332,032",0.7,16.3,"$843,086",1.8,8.6,"$694,317",1.5,7.7,"$1,751,908",1.42,"$23,518"
470712310041002,1,,Rochelle Middle School,Rochelle CCSD 231,Rochelle,Ogle,"$12,289,279",62.9,62.8,"$440,238",2.3,4.6,"$12,729,643","$19,528,543","$11,507.69",65.19%,"1,697","$3,762,691",19.3,16.3,"$1,251,329",6.4,8.6,"$1,785,006",9.1,7.7,"$173,317",3.07,"$9,126"
50160690021003,1,,Lincoln Jr High School,Skokie SD 69,Skokie,Cook,"$22,872,895",79.3,62.8,"$1,836,291",6.4,4.6,"$24,709,328","$28,825,809","$17,056.69",85.72%,"1,690","$1,910,332",6.6,16.3,"$976,361",3.4,8.6,"$1,229,930",4.3,7.7,"$224,578",6.21,"$12,181"
90101370021003,1,,J W Eater Jr High School,Rantoul City SD 137,Rantoul,Champaign,"$4,742,527",25.7,62.8,"$2,066,415",11.2,4.6,"$6,809,031","$18,481,494","$10,974.76",36.84%,"1,684","$8,418,399",45.6,16.3,"$927,367",5,8.6,"$2,326,786",12.6,7.7,"$65,706",4.55,"$10,429"
90100070260007,0,,Unity High School,Tolono CUSD 7,Tolono,Champaign,"$8,306,598",48.4,62.8,"$2,144,407",12.5,4.6,"$10,451,116","$17,147,831","$10,200.97",60.95%,"1,681","$4,766,053",27.8,16.3,"$1,030,213",6,8.6,"$900,560",5.3,7.7,"$110,972",4.55,"$8,904"
60160960021004,1,,L J Hauser Jr High School,Riverside SD 96,Riverside,Cook,"$23,436,791",87.1,62.8,"$604,386",2.2,4.6,"$24,041,327","$26,911,088","$16,008.98",89.34%,"1,681","$723,757",2.7,16.3,"$1,796,567",6.7,8.6,"$349,587",1.3,7.7,"$296,331",4.87,"$13,058"
40042000260003,0,,North Boone High School,North Boone CUSD 200,Poplar Grove,Boone,"$10,306,479",32.2,62.8,"$1,143,680",3.6,4.6,"$11,450,254","$31,997,087","$19,205.93",35.79%,"1,666","$4,958,930",15.5,16.3,"$14,658,492",45.8,8.6,"$929,506",2.9,7.7,"$88,545",7.92,"$10,434"
340490750021004,1,,Carl Sandburg Middle School,Mundelein ESD 75,Mundelein,Lake,"$15,472,150",74.9,62.8,"$935,745",4.5,4.6,"$16,408,033","$20,655,674","$12,428.20",79.44%,"1,662","$2,428,763",11.8,16.3,"$1,120,694",5.4,8.6,"$698,322",3.4,7.7,"$191,498",4.96,"$11,553"
120170020260001,0,,Robinson High School,Robinson CUSD 2,Robinson,Crawford,"$12,479,138",74.2,62.8,"$886,939",5.3,4.6,"$13,366,214","$16,808,146","$10,242.62",79.52%,"1,641","$1,231,816",7.3,16.3,"$1,045,235",6.2,8.6,"$1,165,018",6.9,7.7,"$199,326",3.96,"$9,877"
60162080170001,0,,Riverside Brookfield Twp HS,Riverside-Brookfield Twp SD 208,Riverside,Cook,"$23,458,474",85.7,62.8,"$1,875,905",6.9,4.6,"$25,334,528","$27,360,759","$16,734.41",92.59%,"1,635","$747,979",2.7,16.3,"$853,852",3.1,8.6,"$424,549",1.6,7.7,"$527,843",3.06,"$15,280"
531021400260001,0,,Eureka High School,Eureka CUD 140,Eureka,Woodford,"$8,651,095",62.6,62.8,"$692,648",5,4.6,"$9,343,868","$13,826,481","$8,519.09",67.58%,"1,623","$3,248,282",23.5,16.3,"$726,282",5.3,8.6,"$508,174",3.7,7.7,"$124,879",4.26,"$8,629"
530900860021011,1,,Central Jr High School,East Peoria SD 86,East Peoria,Tazewell,"$14,357,123",64.3,62.8,"$842,325",3.8,4.6,"$15,199,575","$22,322,851","$13,762.55",68.09%,"1,622","$1,453,056",6.5,16.3,"$4,332,035",19.4,8.6,"$1,338,312",6,7.7,"$232,688",3.2,"$11,011"
