SCHOOLID,SCHOOL_TYPE_CODE,BLANK,SCHOOL_NAME,DISTRICT_NAME,CITY,COUNTY,LOCAL_PROP_TAXES_DISTRICT_DOLLAR,LOCAL_PROP_TAXES_DISTRICT_PCT,LOCAL_PROP_TAXES_STATE_PCT,OTHER_LOCAL_FUNDING_DISTRICT_DOLLAR,OTHER_LOCAL_FUNDING_DISTRICT_PCT,OTHER_LOCAL_FUNDING_STATE_PCT,Total Local Dollars,TOTAL_REVENUE_SOURCE,dollars_per_enrollment,% Local Dollars,DISTRICT_TOTAL_ENROLLMENT,GENERAL_STATE_AID_DISTRICT_DOLLAR,GENERAL_STATE_AID_DISTRICT_PCT,GENERAL_STATE_AID_STATE_PCT,OTHER_STATE_FUNDING_DISTRICT_DOLLAR,OTHER_STATE_FUNDING_DISTRICT_PCT,OTHER_STATE_FUNDING_STATE_PCT,FEDERAL_FUNDING_DISTRICT_DOLLAR,FEDERAL_FUNDING_DISTRICT_PCT,FEDERAL_FUNDING_STATE_PCT,EAV_PER_PUPIL_DISTRICT,TOT_SCHL_TAX_RATE_PER_100_DISTRICT,OPER_EXPEND_PP_DISTRICT
60160870021005,1,,MacArthur Middle School,Berkeley SD 87,Berkeley,Cook,"$18,782,971",55.3,62.8,"$756,686",2.2,4.6,"$19,539,775","$33,963,859","$12,204.05",57.53%,"2,783","$9,917,869",29.2,16.3,"$1,850,864",5.4,8.6,"$2,655,469",7.8,7.7,"$166,090",4.7,"$10,489"
340490060021001,1,,Zion Central Middle School,Zion ESD 6,Zion,Lake,"$14,578,749",42.3,62.8,"$351,377",1,4.6,"$14,930,231","$34,438,995","$12,419.40",43.35%,"2,773","$13,000,414",37.7,16.3,"$2,415,471",7,8.6,"$4,092,984",11.9,7.7,"$57,809",8.76,"$11,093"
340490410041004,1,,Peter J Palombi School,Lake Villa CCSD 41,Lake Villa,Lake,"$21,190,608",68.7,62.8,"$1,314,350",4.3,4.6,"$22,505,090","$30,858,562","$11,184.69",72.93%,"2,759","$4,664,207",15.1,16.3,"$2,635,829",8.5,8.6,"$1,053,568",3.4,7.7,"$183,295",4.42,"$9,611"
470521700220001,0,,Dixon High School,Dixon USD 170,Dixon,Lee,"$17,308,021",66.8,62.8,"$1,037,884",4,4.6,"$18,346,035","$25,915,000","$9,430.49",70.79%,"2,748","$3,867,251",14.9,16.3,"$2,100,229",8.1,8.6,"$1,601,615",6.2,7.7,"$133,228",4.56,"$9,510"
60160830021003,1,,Mannheim Middle School,Mannheim SD 83,Melrose Park,Cook,"$36,305,669",74.8,62.8,"$3,500,554",7.2,4.6,"$39,806,361","$48,553,260","$17,707.24",81.99%,"2,742","$4,201,619",8.7,16.3,"$2,334,041",4.8,8.6,"$2,211,377",4.6,7.7,"$260,122",5.48,"$15,394"
340491260170001,0,,Zion-Benton Twnshp Hi Sch,Zion-Benton Twp HSD 126,Zion,Lake,"$28,443,302",66.2,62.8,"$2,260,626",5.3,4.6,"$30,704,057","$42,961,286","$15,696.49",71.47%,"2,737","$7,210,726",16.8,16.3,"$2,910,372",6.8,8.6,"$2,136,260",5,7.7,"$256,742",4.76,"$14,297"
450670050260001,0,,Waterloo High School,Waterloo CUSD 5,Waterloo,Monroe,"$16,983,462",70.4,62.8,"$1,470,779",6.1,4.6,"$18,454,374","$24,111,478","$8,980.07",76.54%,"2,685","$3,416,302",14.2,16.3,"$1,240,199",5.1,8.6,"$1,000,736",4.2,7.7,"$156,605",4.24,"$9,568"
240321110160001,0,,Minooka Community High School,Minooka CHSD 111,Minooka,Grundy,"$28,808,915",80.2,62.8,"$2,550,965",7.1,4.6,"$31,360,023","$35,925,517","$13,405.04",87.29%,"2,680","$2,795,038",7.8,16.3,"$1,588,038",4.4,8.6,"$182,561",0.5,7.7,"$442,903",2.34,"$13,294"
190220150021004,1,,Marquardt Middle School,Marquardt SD 15,Glendale Heights,Dupage,"$31,165,674",68.6,62.8,"$2,762,319",6.1,4.6,"$33,928,124","$45,423,395","$17,057.23",74.69%,"2,663","$6,999,888",15.4,16.3,"$1,789,642",3.9,8.6,"$2,705,872",6,7.7,"$209,767",6.39,"$14,466"
190221080160001,0,,Lake Park High School,Lake Park CHSD 108,Roselle,Dupage,"$46,681,212",86.7,62.8,"$3,126,316",5.8,4.6,"$49,807,678","$53,819,370","$20,370.69",92.55%,"2,642","$1,229,899",2.3,16.3,"$1,799,617",3.3,8.6,"$982,326",1.8,7.7,"$731,932",2.58,"$17,148"
